season,global_scale,resting_scale,foraging_scale,directed_scale,q_hat,n_cal,n_train,n_pointwise,alpha
spring,0.0010875469070138638,0.00030338349535205853,0.0024668711017187344,0.004861857889991373,3.9536804961205574,11599,27062,38661,0.1
autumn,0.00035248774710579234,0.0002357483515483597,0.0016263639229919067,0.0045301353309085655,3.765591003829802,59849,139645,199494,0.1
